0,1,2,3,4,5,6,7,8,9,10
sausage,yogurt,,,,,,,,,
sugar,whole milk,,,,,,,,,
pastry,whipped/sour cream,whipped/sour cream,oil,,,,,,,
whipped/sour cream,candy,whole milk,,,,,,,,
sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
sausage,whipped/sour cream,,,,,,,,,
other vegetables,dessert,,,,,,,,,
meat,margarine,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
sausage,tea,,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
bottled beer,butter,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,brown bread,,,,,,,,,
pastry,baking powder,,,,,,,,,
pip fruit,beverages,,,,,,,,,
canned beer,brown bread,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
yogurt,hard cheese,,,,,,,,,
sausage,soda,,,,,,,,,
white wine,newspapers,,,,,,,,,
bottled water,newspapers,,,,,,,,,
whole milk,margarine,,,,,,,,,
citrus fruit,meat,,,,,,,,,
chicken,dessert,,,,,,,,,
bottled water,frozen dessert,root vegetables,,,,,,,,
pip fruit,brown bread,,,,,,,,,
yogurt,dental care,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
whole milk,cat food,processed cheese,rolls/buns,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
pork,tropical fruit,pip fruit,brown bread,,,,,,,
bottled water,baking powder,UHT-milk,,,,,,,,
white wine,UHT-milk,,,,,,,,,
turkey,semi-finished bread,,,,,,,,,
brown bread,yogurt,,,,,,,,,
specialty cheese,brown bread,margarine,,,,,,,,
rolls/buns,butter,,,,,,,,,
canned beer,cake bar,,,,,,,,,
onions,whole milk,,,,,,,,,
root vegetables,sausage,root vegetables,other vegetables,long life bakery product,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
chicken,red/blush wine,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
specialty fat,condensed milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
whipped/sour cream,flour,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
brandy,ham,root vegetables,whole milk,,,,,,,
citrus fruit,salt,,,,,,,,,
butter,soda,,,,,,,,,
hamburger meat,frozen potato products,whole milk,citrus fruit,semi-finished bread,napkins,,,,,
white bread,zwieback,,,,,,,,,
cat food,whole milk,turkey,spread cheese,canned beer,berries,long life bakery product,,,,
frankfurter,butter milk,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
root vegetables,cling film/bags,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
soda,napkins,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pork,UHT-milk,rolls/buns,cleaner,newspapers,,,,,,
sausage,whole milk,,,,,,,,,
ice cream,whole milk,margarine,whole milk,,,,,,,
citrus fruit,waffles,,,,,,,,,
pastry,vinegar,salty snack,,,,,,,,
cat food,shopping bags,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
frankfurter,UHT-milk,fruit/vegetable juice,,,,,,,,
oil,chewing gum,,,,,,,,,
beef,rolls/buns,,,,,,,,,
beef,tropical fruit,,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
soda,cake bar,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
canned vegetables,chocolate marshmallow,,,,,,,,,
citrus fruit,soda,,,,,,,,,
citrus fruit,chicken,,,,,,,,,
canned beer,bottled beer,yogurt,fruit/vegetable juice,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
pip fruit,soda,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
other vegetables,curd,beef,white bread,,,,,,,
yogurt,yogurt,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
seasonal products,whole milk,,,,,,,,,
other vegetables,frankfurter,rolls/buns,coffee,ice cream,,,,,,
coffee,salty snack,,,,,,,,,
grapes,other vegetables,,,,,,,,,
pot plants,baking powder,,,,,,,,,
hamburger meat,whole milk,whipped/sour cream,,,,,,,,
pot plants,bottled water,,,,,,,,,
shopping bags,rice,,,,,,,,,
turkey,bottled water,other vegetables,newspapers,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
tropical fruit,beef,curd,rolls/buns,whipped/sour cream,whole milk,candles,cake bar,flour,,
fruit/vegetable juice,hard cheese,,,,,,,,,
citrus fruit,dish cleaner,margarine,,,,,,,,
soda,herbs,canned beer,soda,seasonal products,dishes,yogurt,mayonnaise,flower (seeds),,
sugar,other vegetables,,,,,,,,,
pastry,whole milk,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
ham,root vegetables,rolls/buns,processed cheese,whole milk,pastry,soups,,,,
red/blush wine,yogurt,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
root vegetables,butter,,,,,,,,,
soda,pastry,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
vinegar,whole milk,,,,,,,,,
soda,beverages,,,,,,,,,
whole milk,sweet spreads,soda,soda,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frozen meals,rolls/buns,chocolate,shopping bags,,,,,,,
ham,brown bread,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
chicken,other vegetables,,,,,,,,,
dessert,red/blush wine,,,,,,,,,
bottled beer,frozen meals,whole milk,root vegetables,,,,,,,
frozen meals,beef,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
softener,yogurt,cling film/bags,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
brown bread,shopping bags,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
pork,pip fruit,,,,,,,,,
pork,flour,,,,,,,,,
pork,rolls/buns,,,,,,,,,
sweet spreads,butter,,,,,,,,,
soda,frankfurter,cream cheese ,butter,,,,,,,
chicken,chicken,salt,,,,,,,,
popcorn,flour,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
soda,mustard,,,,,,,,,
cake bar,long life bakery product,shopping bags,,,,,,,,
frankfurter,pork,tropical fruit,pastry,,,,,,,
grapes,root vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,yogurt,shopping bags,,,,,,,,
beef,salty snack,,,,,,,,,
mayonnaise,pastry,,,,,,,,,
ketchup,hard cheese,rolls/buns,,,,,,,,
brown bread,ketchup,soda,,,,,,,,
whole milk,butter,newspapers,,,,,,,,
yogurt,whole milk,,,,,,,,,
yogurt,tropical fruit,specialty bar,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
bottled beer,pastry,cream cheese ,,,,,,,,
sparkling wine,canned beer,,,,,,,,,
meat,rolls/buns,,,,,,,,,
cream cheese ,specialty chocolate,,,,,,,,,
onions,vinegar,,,,,,,,,
soda,cream cheese ,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
hamburger meat,tropical fruit,cat food,whole milk,artif. sweetener,packaged fruit/vegetables,,,,,
pip fruit,canned beer,hygiene articles,coffee,,,,,,,
canned beer,whole milk,,,,,,,,,
beef,baking powder,,,,,,,,,
beef,meat,,,,,,,,,
canned fish,specialty cheese,yogurt,specialty vegetables,,,,,,,
canned beer,brown bread,napkins,,,,,,,,
whole milk,oil,soups,,,,,,,,
soda,shopping bags,,,,,,,,,
onions,specialty chocolate,,,,,,,,,
whole milk,rolls/buns,hygiene articles,,,,,,,,
soda,other vegetables,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
canned beer,grapes,,,,,,,,,
whole milk,soups,,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
pip fruit,berries,,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
sausage,whole milk,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
baking powder,bottled water,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,pastry,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
root vegetables,candy,,,,,,,,,
sausage,newspapers,,,,,,,,,
finished products,butter milk,fruit/vegetable juice,brown bread,pot plants,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
specialty chocolate,flour,,,,,,,,,
bottled water,chocolate,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
hamburger meat,soda,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
coffee,sauces,,,,,,,,,
butter,tropical fruit,,,,,,,,,
chicken,male cosmetics,,,,,,,,,
coffee,baking powder,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt,,,
pip fruit,whole milk,,,,,,,,,
yogurt,butter,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
frankfurter,ketchup,,,,,,,,,
pastry,oil,potato products,,,,,,,,
whole milk,cleaner,,,,,,,,,
packaged fruit/vegetables,rolls/buns,domestic eggs,,,,,,,,
berries,pip fruit,,,,,,,,,
soda,soda,pip fruit,popcorn,soda,pasta,whole milk,dental care,,,
dog food,canned beer,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
oil,other vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
citrus fruit,hard cheese,pastry,salty snack,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
sausage,other vegetables,,,,,,,,,
beef,other vegetables,,,,,,,,,
coffee,frozen fish,,,,,,,,,
turkey,whole milk,,,,,,,,,
canned beer,pip fruit,instant coffee,yogurt,,,,,,,
whole milk,yogurt,semi-finished bread,,,,,,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
frozen meals,mayonnaise,whipped/sour cream,,,,,,,,
root vegetables,other vegetables,white wine,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
other vegetables,berries,organic products,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
white wine,brown bread,,,,,,,,,
beef,chocolate,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
whole milk,pip fruit,,,,,,,,,
berries,white bread,,,,,,,,,
newspapers,root vegetables,,,,,,,,,
sausage,berries,,,,,,,,,
beverages,yogurt,,,,,,,,,
pork,processed cheese,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
frozen meals,rolls/buns,butter,fruit/vegetable juice,,,,,,,
pip fruit,soda,,,,,,,,,
dental care,curd,,,,,,,,,
root vegetables,dog food,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
citrus fruit,whole milk,rolls/buns,liquor,tropical fruit,,,,,,
UHT-milk,canned vegetables,,,,,,,,,
fruit/vegetable juice,detergent,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
bottled beer,processed cheese,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
frankfurter,yogurt,other vegetables,herbs,male cosmetics,,,,,,
butter milk,fruit/vegetable juice,,,,,,,,,
zwieback,soda,curd,,,,,,,,
tropical fruit,curd,brown bread,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
meat,curd,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
misc. beverages,whipped/sour cream,pastry,,,,,,,,
hard cheese,yogurt,,,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
meat,hygiene articles,hard cheese,cat food,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
tropical fruit,other vegetables,berries,butter,,,,,,,
yogurt,chocolate,,,,,,,,,
tropical fruit,salt,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
specialty fat,other vegetables,white wine,,,,,,,,
pasta,whole milk,waffles,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
brown bread,whole milk,,,,,,,,,
tropical fruit,finished products,whole milk,fruit/vegetable juice,rolls/buns,,,,,,
pastry,domestic eggs,,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
white bread,cream cheese ,,,,,,,,,
yogurt,tidbits,,,,,,,,,
canned beer,sausage,butter,other vegetables,salty snack,,,,,,
sliced cheese,napkins,,,,,,,,,
pip fruit,beverages,margarine,soda,,,,,,,
bottled beer,beverages,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
root vegetables,grapes,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
coffee,whole milk,,,,,,,,,
whole milk,tropical fruit,cat food,,,,,,,,
pot plants,pip fruit,,,,,,,,,
bottled water,butter milk,,,,,,,,,
canned beer,whole milk,soda,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
citrus fruit,frozen meals,coffee,seasonal products,yogurt,soups,,,,,
soda,frozen dessert,pickled vegetables,,,,,,,,
candy,other vegetables,,,,,,,,,
beef,bottled water,bottled water,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
sausage,pip fruit,,,,,,,,,
soda,rolls/buns,,,,,,,,,
cream cheese ,salty snack,,,,,,,,,
ice cream,pasta,,,,,,,,,
whole milk,grapes,bottled beer,frozen dessert,,,,,,,
root vegetables,frankfurter,other vegetables,mayonnaise,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
tropical fruit,frozen meals,fruit/vegetable juice,,,,,,,,
butter milk,candles,pot plants,,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
sugar,bottled water,cream cheese ,,,,,,,,
frankfurter,yogurt,,,,,,,,,
beef,hair spray,,,,,,,,,
beef,specialty fat,newspapers,,,,,,,,
berries,white bread,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
dessert,soft cheese,shopping bags,,,,,,,,
sausage,hygiene articles,ice cream,,,,,,,,
canned beer,rolls/buns,other vegetables,dog food,,,,,,,
beverages,shopping bags,,,,,,,,,
pork,canned beer,rolls/buns,yogurt,mustard,oil,popcorn,whipped/sour cream,,,
other vegetables,domestic eggs,soap,pastry,,,,,,,
chocolate,other vegetables,,,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
citrus fruit,onions,salty snack,brown bread,,,,,,,
frankfurter,other vegetables,,,,,,,,,
berries,pip fruit,,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
soda,whole milk,whole milk,sugar,,,,,,,
other vegetables,fruit/vegetable juice,coffee,,,,,,,,
yogurt,yogurt,,,,,,,,,
pork,sliced cheese,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
canned beer,brown bread,,,,,,,,,
berries,yogurt,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
ham,yogurt,,,,,,,,,
soda,frozen meals,,,,,,,,,
butter milk,whole milk,,,,,,,,,
chocolate,bottled water,,,,,,,,,
other vegetables,chocolate,white wine,,,,,,,,
ham,female sanitary products,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
beef,curd cheese,,,,,,,,,
whole milk,pickled vegetables,soda,,,,,,,,
specialty bar,waffles,,,,,,,,,
other vegetables,salty snack,brown bread,canned beer,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
sugar,fruit/vegetable juice,margarine,,,,,,,,
whole milk,candy,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
berries,butter,tea,,,,,,,,
canned fruit,newspapers,,,,,,,,,
hamburger meat,dog food,,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
frankfurter,cream cheese ,long life bakery product,,,,,,,,
yogurt,ham,,,,,,,,,
bottled water,butter milk,,,,,,,,,
ham,cream cheese ,other vegetables,oil,candy,,,,,,
other vegetables,pip fruit,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
oil,brown bread,oil,seasonal products,,,,,,,
cat food,ham,whipped/sour cream,canned beer,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
butter,dish cleaner,light bulbs,,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
whole milk,bottled water,,,,,,,,,
beef,root vegetables,,,,,,,,,
root vegetables,grapes,white bread,dishes,,,,,,,
butter milk,berries,citrus fruit,napkins,,,,,,,
berries,long life bakery product,,,,,,,,,
yogurt,jam,,,,,,,,,
meat,soda,cream cheese ,,,,,,,,
other vegetables,dessert,,,,,,,,,
canned beer,flour,,,,,,,,,
tropical fruit,rolls/buns,root vegetables,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
root vegetables,citrus fruit,soda,,,,,,,,
baking powder,yogurt,,,,,,,,,
soda,detergent,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,soda,,,,,,,
bottled water,domestic eggs,frozen meals,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
pip fruit,pot plants,,,,,,,,,
cream cheese ,yogurt,newspapers,detergent,,,,,,,
tropical fruit,whole milk,,,,,,,,,
soda,soda,roll products ,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
dessert,processed cheese,UHT-milk,,,,,,,,
packaged fruit/vegetables,whole milk,,,,,,,,,
sausage,whole milk,other vegetables,semi-finished bread,yogurt,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
sausage,whole milk,prosecco,honey,other vegetables,waffles,shopping bags,artif. sweetener,,,
tropical fruit,salt,,,,,,,,,
other vegetables,yogurt,yogurt,,,,,,,,
sugar,butter,,,,,,,,,
meat,whole milk,,,,,,,,,
beverages,sausage,white bread,bottled water,,,,,,,
chicken,soda,,,,,,,,,
whole milk,pasta,,,,,,,,,
frankfurter,beverages,,,,,,,,,
beef,curd,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
dessert,house keeping products,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
beverages,pastry,,,,,,,,,
cat food,tropical fruit,onions,tidbits,,,,,,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
ham,rolls/buns,,,,,,,,,
salad dressing,hard cheese,,,,,,,,,
dessert,domestic eggs,candles,whole milk,,,,,,,
yogurt,root vegetables,,,,,,,,,
whole milk,onions,,,,,,,,,
butter,seasonal products,fruit/vegetable juice,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sausage,pastry,,,,,,,,,
dish cleaner,cling film/bags,,,,,,,,,
hamburger meat,soda,cling film/bags,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
soda,soda,,,,,,,,,
butter milk,butter,,,,,,,,,
chicken,baking powder,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
butter,softener,,,,,,,,,
white wine,photo/film,whipped/sour cream,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
UHT-milk,soda,,,,,,,,,
pork,red/blush wine,,,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
other vegetables,butter,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
soda,bottled beer,,,,,,,,,
dessert,cream cheese ,,,,,,,,,
rolls/buns,berries,,,,,,,,,
frozen meals,pasta,curd,,,,,,,,
rolls/buns,canned beer,bottled beer,ham,hamburger meat,pickled vegetables,salty snack,domestic eggs,soda,,
rolls/buns,processed cheese,,,,,,,,,
bottled water,beverages,pastry,,,,,,,,
sausage,soda,bottled water,,,,,,,,
tropical fruit,pot plants,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
soda,bottled water,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pork,cream cheese ,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
pork,yogurt,coffee,,,,,,,,
root vegetables,whipped/sour cream,shopping bags,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
tropical fruit,herbs,long life bakery product,,,,,,,,
pip fruit,root vegetables,root vegetables,beverages,,,,,,,
pip fruit,whole milk,soda,,,,,,,,
whole milk,pip fruit,,,,,,,,,
other vegetables,rolls/buns,sweet spreads,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
butter milk,hard cheese,,,,,,,,,
yogurt,whole milk,,,,,,,,,
tropical fruit,coffee,waffles,whipped/sour cream,,,,,,,
beef,soap,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
bottled beer,jam,male cosmetics,dessert,,,,,,,
yogurt,pastry,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
root vegetables,coffee,napkins,,,,,,,,
chocolate,canned beer,frozen fish,,,,,,,,
soft cheese,bottled beer,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
other vegetables,whole milk,candy,,,,,,,,
butter milk,citrus fruit,,,,,,,,,
sausage,dog food,bottled beer,bottled water,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
pork,berries,,,,,,,,,
sausage,rolls/buns,pot plants,snack products,,,,,,,
long life bakery product,shopping bags,,,,,,,,,
seasonal products,shopping bags,,,,,,,,,
cooking chocolate,chewing gum,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
dessert,salty snack,,,,,,,,,
citrus fruit,berries,,,,,,,,,
onions,cat food,white wine,,,,,,,,
bottled beer,whole milk,cream cheese ,,,,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
sausage,beverages,canned beer,whole milk,,,,,,,
ready soups,pastry,,,,,,,,,
waffles,pasta,,,,,,,,,
white bread,coffee,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
liquor,bathroom cleaner,,,,,,,,,
berries,dessert,dessert,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
soda,soda,,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
sausage,shopping bags,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
root vegetables,canned beer,,,,,,,,,
canned beer,white wine,chocolate,,,,,,,,
whole milk,soft cheese,,,,,,,,,
pastry,shopping bags,,,,,,,,,
white bread,whipped/sour cream,frozen dessert,pastry,,,,,,,
root vegetables,whipped/sour cream,frozen potato products,sugar,,,,,,,
newspapers,napkins,,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
sausage,pork,soda,salt,,,,,,,
citrus fruit,spread cheese,,,,,,,,,
ham,whole milk,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
pip fruit,butter,,,,,,,,,
pip fruit,frankfurter,other vegetables,napkins,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
pasta,hygiene articles,,,,,,,,,
beef,jam,flower (seeds),,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
beef,soda,,,,,,,,,
tropical fruit,flower (seeds),,,,,,,,,
brown bread,curd,,,,,,,,,
pork,root vegetables,hamburger meat,frankfurter,coffee,curd,cake bar,soda,,,
whole milk,sliced cheese,,,,,,,,,
rolls/buns,rubbing alcohol,pastry,,,,,,,,
citrus fruit,sausage,bottled beer,herbs,,,,,,,
butter,butter,,,,,,,,,
detergent,fruit/vegetable juice,,,,,,,,,
chicken,soups,bottled water,,,,,,,,
potato products,waffles,newspapers,,,,,,,,
ice cream,meat spreads,,,,,,,,,
bottled beer,soda,bottled water,cat food,,,,,,,
chocolate,other vegetables,chocolate,pip fruit,bottled water,yogurt,pasta,shopping bags,,,
white wine,rolls/buns,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
newspapers,salty snack,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
hamburger meat,soda,,,,,,,,,
sausage,root vegetables,kitchen towels,,,,,,,,
rolls/buns,potato products,,,,,,,,,
UHT-milk,other vegetables,dishes,,,,,,,,
canned beer,pip fruit,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
chicken,onions,,,,,,,,,
white bread,red/blush wine,,,,,,,,,
root vegetables,butter,,,,,,,,,
other vegetables,salty snack,pickled vegetables,,,,,,,,
meat,other vegetables,,,,,,,,,
soda,instant coffee,,,,,,,,,
ham,berries,,,,,,,,,
soda,whole milk,newspapers,coffee,,,,,,,
root vegetables,canned beer,dessert,chewing gum,,,,,,,
tropical fruit,cat food,,,,,,,,,
chicken,yogurt,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
beverages,rolls/buns,,,,,,,,,
hard cheese,curd,,,,,,,,,
sugar,citrus fruit,napkins,,,,,,,,
soda,other vegetables,,,,,,,,,
grapes,chewing gum,curd cheese,,,,,,,,
soft cheese,spices,,,,,,,,,
canned beer,root vegetables,whole milk,whole milk,newspapers,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
frozen vegetables,flour,,,,,,,,,
ham,frozen meals,,,,,,,,,
root vegetables,hard cheese,pastry,,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
pork,pork,frankfurter,frozen fish,waffles,napkins,rolls/buns,,,,
whole milk,butter milk,domestic eggs,,,,,,,,
pip fruit,brown bread,,,,,,,,,
dishes,butter milk,,,,,,,,,
oil,butter,,,,,,,,,
pork,newspapers,napkins,,,,,,,,
other vegetables,pip fruit,UHT-milk,herbs,,,,,,,
specialty bar,processed cheese,whole milk,whole milk,misc. beverages,,,,,,
condensed milk,whole milk,,,,,,,,,
rolls/buns,curd,cat food,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
curd,chocolate marshmallow,,,,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
ice cream,pot plants,,,,,,,,,
other vegetables,pork,rolls/buns,rolls/buns,,,,,,,
tropical fruit,pastry,,,,,,,,,
whole milk,whole milk,,,,,,,,,
chicken,mayonnaise,soda,sparkling wine,,,,,,,
